CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
644,Male,18,81,67
645,Female,22,131,63
646,Male,37,108,9
647,Male,25,113,94
648,Male,60,127,11
649,Female,29,117,99
650,Male,18,105,42
651,Male,37,104,13
652,Female,45,31,36
653,Male,60,32,13
654,Male,54,130,12
655,Female,64,107,37
656,Male,54,105,74
657,Male,29,96,73
658,Male,54,82,52
659,Female,66,128,71
660,Female,66,15,2
661,Female,61,72,56
662,Male,45,123,60
663,Male,64,130,23
664,Female,32,101,40
665,Male,23,24,64
666,Male,61,73,85
667,Female,37,55,23
668,Female,67,119,29
669,Male,31,147,78
670,Male,19,136,90
671,Male,26,36,51
672,Female,54,112,69
673,Female,37,82,95
674,Female,43,70,89
675,Female,46,113,31
676,Male,18,90,50
677,Female,52,40,20
678,Female,23,129,55
679,Female,54,123,81
680,Female,22,61,2
681,Female,50,85,25
682,Male,66,54,13
683,Male,68,147,92
684,Female,31,146,70
685,Male,29,37,67
686,Female,59,120,58
687,Female,37,98,99
688,Male,67,130,82
689,Male,41,123,75
690,Female,60,55,84
691,Female,51,126,64
692,Female,42,126,69
693,Male,67,117,83
694,Female,46,60,86
695,Female,56,82,59
696,Female,48,136,60
697,Male,64,29,83
698,Female,60,143,62
699,Female,67,125,16
700,Male,40,38,88
701,Female,61,41,68
702,Female,55,54,15
703,Male,37,38,89
704,Female,40,38,55
705,Male,62,18,35
706,Male,69,81,55
707,Female,33,48,14
708,Female,67,130,49
709,Female,59,37,83
710,Female,25,123,100
711,Male,67,83,7
712,Female,38,109,30
713,Male,18,76,83
714,Female,25,71,49
715,Female,46,68,89
716,Female,49,84,16
717,Male,55,115,51
718,Female,22,71,72
719,Female,64,149,82
720,Female,39,117,92
721,Female,64,99,80
722,Male,51,75,83
723,Female,18,17,42
724,Male,43,142,17
725,Male,60,100,63
726,Male,27,61,45
727,Male,47,90,77
728,Male,67,52,7
729,Male,35,101,27
730,Female,34,72,10
731,Male,43,64,34
732,Male,25,44,36
733,Male,64,115,25
734,Female,57,39,6
735,Female,66,126,24
736,Male,29,140,18
737,Female,44,137,87
738,Male,25,61,6
739,Male,42,132,29
740,Female,63,53,25
741,Male,21,30,55
742,Female,50,36,81
743,Female,18,68,46
744,Male,36,30,24
745,Male,48,73,75
746,Female,33,45,26
747,Male,31,46,98
748,Male,65,23,28
749,Male,22,24,3
750,Female,58,31,75
751,Female,43,82,38
752,Male,45,62,61
753,Female,19,125,78
754,Female,67,137,51
755,Female,23,115,90
756,Female,26,116,48
757,Female,50,79,21
758,Male,58,65,54
759,Male,42,50,56
760,Male,65,95,94
761,Female,30,141,59
762,Female,26,102,72
763,Male,30,118,51
764,Female,48,29,20
765,Male,58,110,96
766,Male,28,137,86
767,Male,21,15,59
768,Female,51,136,71
769,Female,55,140,9
770,Male,63,71,1
771,Male,21,95,29
772,Male,55,87,63
773,Male,36,84,72
774,Female,23,20,56
775,Female,51,98,68
776,Male,35,66,35
777,Male,30,17,3
778,Female,58,95,7
779,Female,40,77,27
780,Male,36,63,1
781,Male,62,90,91
782,Male,28,126,80
783,Female,18,123,71
784,Female,41,79,44
785,Female,24,95,87
786,Male,42,29,41
787,Male,38,114,75
788,Female,32,46,42
789,Female,18,110,33
790,Male,29,142,50
791,Female,24,127,63
792,Female,32,97,100
793,Male,38,57,37
794,Female,36,130,59
795,Male,46,92,81
796,Male,42,72,99
797,Male,50,47,48
798,Male,66,28,5
799,Male,49,146,48
800,Male,66,73,96
801,Male,52,97,3
802,Female,61,148,47
803,Male,55,135,62
804,Male,43,97,99
805,Female,28,41,14
806,Female,52,94,63
807,Female,25,148,61
808,Male,63,27,31
809,Female,31,78,95
810,Male,27,94,17
811,Male,19,137,24
812,Male,63,57,23
813,Male,26,103,82
814,Female,20,109,50
815,Female,38,16,78
816,Male,43,134,79
817,Male,25,36,79
818,Male,65,129,70
819,Female,19,71,27
820,Male,23,86,15
821,Male,45,21,50
822,Female,46,133,36
823,Female,43,128,8
824,Male,42,30,79
825,Female,29,97,3
826,Female,22,86,62
827,Male,51,138,47
828,Female,65,127,77
829,Male,54,26,98
830,Female,32,140,88
831,Male,61,67,96
832,Male,53,89,61
833,Male,32,147,32
834,Female,60,41,94
835,Male,65,148,13
836,Female,40,111,1
837,Male,23,19,34
838,Male,63,71,62
839,Female,67,92,79
840,Male,61,83,78
841,Male,60,132,93
842,Female,62,134,98
843,Male,38,73,82
844,Male,40,47,71
845,Male,60,76,93
846,Male,33,64,31
847,Female,64,126,64
848,Female,32,33,25
849,Male,42,137,38
850,Female,53,61,14
851,Male,28,47,8
852,Female,68,98,91
853,Male,32,149,54
854,Male,21,93,2
855,Male,38,28,81
856,Male,30,142,78
857,Male,39,68,89
858,Male,36,43,56
859,Female,51,38,94
860,Male,31,96,93
861,Female,21,77,84
862,Male,65,119,85
863,Female,69,71,61
864,Female,63,76,22
865,Female,44,31,35
866,Male,46,80,16
867,Male,64,20,50
868,Female,45,72,43
869,Male,52,83,17
870,Female,25,76,80
871,Male,33,96,58
872,Female,59,85,2
873,Female,53,145,4
874,Male,47,24,85
875,Female,35,112,39
876,Male,19,103,98
877,Female,66,49,94
878,Female,30,16,6
879,Male,21,138,81
880,Male,43,38,89
881,Male,42,88,69
882,Female,47,36,69
883,Male,28,53,20
884,Female,24,34,64
885,Female,48,55,16
886,Male,61,122,51
887,Male,27,98,37
888,Female,56,125,73
889,Female,30,80,69
890,Male,48,67,42
891,Male,24,48,57
892,Male,66,81,66
893,Male,59,148,9
894,Male,59,41,100
895,Female,53,24,86
896,Female,37,87,64
897,Female,21,110,86
898,Female,24,62,22
899,Male,18,84,34
900,Male,61,114,55
901,Male,62,73,29
902,Female,59,16,38
903,Female,64,79,97
904,Male,30,97,18
905,Male,39,24,71
906,Female,38,67,65
907,Female,39,93,97
908,Male,45,73,1
909,Male,26,62,88
910,Female,43,137,4
911,Male,26,36,4
912,Male,32,114,82
913,Male,27,112,27
914,Female,41,39,43
915,Female,59,42,59
916,Female,25,127,32
917,Female,41,59,33
918,Female,33,82,28
919,Female,66,21,55
920,Female,43,63,100
921,Male,44,97,60
922,Male,54,143,70
923,Male,21,87,62
924,Male,67,60,80
925,Male,41,120,34
926,Male,36,46,87
927,Male,53,20,88
928,Female,56,88,56
929,Female,27,128,13
930,Male,42,41,56
931,Male,35,68,18
932,Female,36,99,54
933,Male,53,141,77
934,Male,27,125,43
935,Female,50,29,39
936,Male,67,146,61
937,Female,22,107,42
938,Male,64,137,81
939,Female,66,87,79
940,Female,52,106,18
941,Female,61,31,23
942,Male,51,57,54
943,Female,50,135,30
944,Male,38,55,98
945,Male,34,53,58
946,Male,39,127,68
947,Male,65,125,67
948,Female,54,61,71
949,Female,32,77,18
950,Male,52,124,7
951,Male,45,83,40
952,Female,24,57,70
953,Male,49,48,86
954,Female,28,54,65
955,Male,27,75,68
956,Male,26,76,49
957,Female,31,72,52
958,Male,30,89,29
959,Female,42,30,21
960,Male,19,96,90
961,Male,52,108,78
962,Male,24,62,9
963,Female,38,96,47
964,Male,35,52,76
965,Male,20,141,42
966,Male,59,33,51
967,Male,56,77,56
968,Female,58,91,51
969,Female,66,145,70
970,Male,28,116,20
971,Female,56,79,88
972,Male,41,134,27
973,Male,63,105,38
974,Male,36,22,72
975,Female,21,87,65
976,Female,43,148,54
977,Female,55,121,24
978,Female,59,103,47
979,Female,49,53,71
980,Female,56,127,83
981,Female,62,42,86
982,Female,63,111,63
983,Female,53,51,57
984,Male,57,96,55
985,Female,54,70,60
986,Female,50,99,99
987,Female,53,16,62
988,Female,20,72,30
989,Female,26,121,93
990,Female,25,137,22
991,Female,50,128,75
992,Female,23,121,84
993,Female,58,51,29
994,Female,56,93,41
995,Female,21,106,42
996,Male,30,32,98
997,Male,66,112,65
998,Female,19,77,31
999,Female,22,18,30
1000,Male,61,149,18
1001,Female,44,75,17
1002,Male,49,121,38
1003,Male,38,68,14
1004,Male,25,102,87
1005,Male,55,82,89
1006,Male,25,143,79
1007,Female,67,69,56
1008,Male,20,17,22
1009,Female,61,135,67
1010,Female,20,143,56
1011,Male,39,116,19
1012,Male,23,52,57
1013,Female,19,99,44
1014,Male,40,147,98
1015,Male,61,106,35
1016,Female,19,35,1
1017,Female,55,123,52
1018,Male,34,61,85
1019,Female,52,98,93
1020,Male,51,97,70
1021,Male,40,49,37
1022,Male,47,83,65
1023,Female,69,143,51
1024,Female,25,41,1
1025,Female,39,70,91
1026,Female,61,37,21
1027,Female,53,35,53
1028,Male,22,75,16
1029,Male,30,77,61
1030,Male,46,136,54
1031,Male,48,66,40
1032,Female,64,102,26
1033,Male,33,69,80
1034,Female,59,60,92
1035,Male,47,46,65
1036,Female,33,69,100
1037,Female,29,110,74
1038,Male,34,147,64
1039,Male,33,50,43
1040,Male,29,124,17
1041,Male,25,120,59
1042,Female,37,72,23
1043,Male,20,53,7
1044,Male,33,94,44
1045,Female,47,111,53
1046,Male,62,127,71
1047,Male,40,75,79
1048,Male,45,20,34
1049,Male,68,123,46
1050,Male,57,49,68
1051,Female,22,53,78
1052,Male,37,132,78
1053,Male,57,19,16
1054,Male,61,101,71
1055,Male,18,90,96
1056,Male,47,71,19
1057,Female,38,141,2
1058,Male,37,43,10
1059,Female,23,101,50
1060,Female,39,60,81
1061,Male,35,130,12
1062,Male,25,126,70
1063,Male,56,59,22
1064,Male,49,118,32
1065,Female,50,99,84
1066,Male,33,148,1
1067,Male,29,122,54
1068,Male,55,32,58
1069,Male,69,108,70
1070,Male,51,47,83
1071,Male,31,140,18
1072,Female,53,136,6
1073,Female,50,129,45
1074,Male,40,42,97
1075,Male,67,25,23
1076,Male,62,61,23
1077,Female,19,141,26
1078,Male,58,132,77
1079,Female,38,140,7
1080,Male,19,86,79
1081,Male,44,121,44
1082,Male,26,47,27
1083,Male,18,33,26
1084,Female,28,88,97
1085,Female,20,112,79
1086,Male,69,143,36
1087,Male,40,107,55
1088,Female,43,62,64
1089,Female,21,78,91
1090,Female,35,75,57
1091,Female,23,53,69
1092,Male,52,142,61
1093,Female,39,102,2
1094,Male,60,40,55
1095,Female,32,31,97
1096,Female,39,85,80
1097,Female,54,27,87
1098,Female,69,83,38
1099,Female,59,40,80
1100,Male,29,63,78
1101,Male,64,21,29
1102,Female,66,72,26
1103,Female,59,63,35
1104,Male,55,117,79
1105,Female,35,67,67
1106,Female,62,76,87
1107,Male,52,31,29
1108,Female,47,39,34
1109,Female,41,145,97
1110,Male,59,43,41
1111,Male,47,131,41
1112,Male,31,40,23
1113,Female,23,138,71
1114,Male,20,39,3
1115,Male,33,68,58
1116,Male,24,87,32
1117,Male,69,134,31
1118,Male,31,70,82
1119,Male,26,79,43
1120,Female,32,107,7
1121,Female,38,100,1
1122,Male,52,94,61
1123,Male,19,122,14
1124,Male,44,132,52
1125,Female,19,97,96
1126,Female,52,29,6
1127,Female,35,145,10
1128,Female,31,44,71
1129,Female,37,71,90
1130,Female,35,142,98
1131,Female,27,62,30
1132,Female,42,36,100
1133,Female,19,20,21
1134,Male,42,118,60
1135,Male,50,50,81
1136,Male,53,93,97
1137,Male,48,130,74
1138,Female,31,71,63
1139,Female,18,63,42
1140,Male,63,96,51
1141,Female,33,80,64
1142,Male,63,91,76
1143,Female,69,59,56
1144,Male,20,93,80
1145,Female,52,34,41
1146,Female,58,137,32
1147,Male,23,81,15
1148,Female,42,97,62
1149,Male,30,17,27
1150,Male,51,78,28
1151,Male,25,54,81
1152,Male,38,73,64
1153,Female,51,76,59
1154,Female,21,146,58
1155,Female,42,74,2
1156,Male,32,130,36
1157,Female,21,89,71
1158,Male,62,136,13
1159,Female,29,121,15
1160,Female,49,110,89
1161,Female,49,105,87
1162,Male,45,144,60
1163,Female,30,76,22
1164,Female,48,63,63
1165,Male,31,106,90
1166,Female,37,138,97
1167,Male,35,75,75
1168,Female,46,62,74
1169,Male,23,72,25
1170,Male,49,115,48
1171,Female,46,126,43
1172,Male,60,76,38
1173,Male,19,53,41
1174,Male,40,72,45
1175,Male,36,113,88
1176,Male,48,58,40
1177,Male,68,43,97
1178,Female,22,73,17
1179,Male,36,85,88
1180,Male,51,106,57
1181,Female,27,23,2
1182,Female,42,141,96
1183,Female,19,148,62
1184,Female,28,145,88
1185,Female,67,35,9
1186,Female,48,78,68
1187,Female,32,104,81
1188,Male,26,50,17
1189,Male,40,76,50
1190,Female,36,90,94
1191,Male,26,27,40
1192,Male,52,25,58
1193,Male,38,68,75
1194,Female,26,30,85
1195,Female,45,22,21
1196,Male,63,118,18
1197,Female,68,73,55
1198,Male,24,71,29
1199,Male,33,54,24
1200,Male,33,144,74
1201,Male,50,108,17
1202,Female,21,58,18
1203,Female,21,94,42
1204,Female,56,95,84
1205,Male,57,16,45
1206,Female,34,129,82
1207,Male,54,104,17
1208,Female,56,37,73
1209,Male,69,76,14
1210,Male,46,127,49
1211,Male,69,142,29
1212,Female,53,76,95
1213,Female,55,52,4
1214,Female,56,75,82
1215,Female,67,143,20
1216,Male,54,136,47
1217,Female,69,124,9
1218,Female,52,27,77
1219,Male,24,114,79
1220,Male,44,149,27
1221,Male,45,36,15
1222,Female,39,88,92
1223,Male,31,146,19
1224,Male,24,37,90
1225,Male,54,133,52
1226,Female,39,84,26
1227,Male,22,98,89
1228,Female,19,115,26
1229,Female,44,98,26
1230,Male,38,42,46
1231,Male,55,15,92
1232,Female,32,77,49
1233,Male,38,36,82
1234,Male,27,84,96
1235,Female,40,139,53
1236,Female,56,110,3
1237,Male,22,93,66
1238,Female,18,19,97
1239,Male,30,74,42
1240,Male,38,134,19
1241,Male,43,60,17
1242,Female,67,148,33
1243,Male,62,70,76
1244,Male,38,124,49
